clause_id,model,win_share
51,checkpoints/llama3.1-8b-soft-panel,0.09023809523809524
51,checkpoints/llama3.1-8b-us-rep,0.18928571428571428
51,meta-llama/Llama-3.1-8B,0.19452380952380952
52,checkpoints/llama3.1-8b-adversary-hard,0.1357142857142857
52,checkpoints/llama3.1-8b-adversary-soft,0.18261904761904763
52,checkpoints/llama3.1-8b-full-prism,0.1519047619047619
52,checkpoints/llama3.1-8b-hard-panel,0.11523809523809524
52,checkpoints/llama3.1-8b-soft-panel,0.16166666666666665
52,checkpoints/llama3.1-8b-us-rep,0.1457142857142857
52,meta-llama/Llama-3.1-8B,0.10714285714285714
53,checkpoints/llama3.1-8b-adversary-hard,0.10238095238095238
53,checkpoints/llama3.1-8b-adversary-soft,0.15642857142857142
53,checkpoints/llama3.1-8b-full-prism,0.15880952380952382
53,checkpoints/llama3.1-8b-hard-panel,0.11595238095238095
53,checkpoints/llama3.1-8b-soft-panel,0.1469047619047619
53,checkpoints/llama3.1-8b-us-rep,0.18642857142857142
53,meta-llama/Llama-3.1-8B,0.1330952380952381
54,checkpoints/llama3.1-8b-adversary-hard,0.16595238095238096
54,checkpoints/llama3.1-8b-adversary-soft,0.13166666666666665
54,checkpoints/llama3.1-8b-full-prism,0.15166666666666667
54,checkpoints/llama3.1-8b-hard-panel,0.14261904761904762
54,checkpoints/llama3.1-8b-soft-panel,0.12261904761904761
54,checkpoints/llama3.1-8b-us-rep,0.1442857142857143
54,meta-llama/Llama-3.1-8B,0.1411904761904762
55,checkpoints/llama3.1-8b-adversary-hard,0.12857142857142856
55,checkpoints/llama3.1-8b-adversary-soft,0.15928571428571428
55,checkpoints/llama3.1-8b-full-prism,0.16952380952380952
55,checkpoints/llama3.1-8b-hard-panel,0.1407142857142857
55,checkpoints/llama3.1-8b-soft-panel,0.1773809523809524
55,checkpoints/llama3.1-8b-us-rep,0.10857142857142857
55,meta-llama/Llama-3.1-8B,0.11595238095238095
56,checkpoints/llama3.1-8b-adversary-hard,0.17595238095238094
56,checkpoints/llama3.1-8b-adversary-soft,0.14285714285714285
56,checkpoints/llama3.1-8b-full-prism,0.13690476190476192
56,checkpoints/llama3.1-8b-hard-panel,0.17452380952380953
56,checkpoints/llama3.1-8b-soft-panel,0.1457142857142857
56,checkpoints/llama3.1-8b-us-rep,0.13666666666666666
56,meta-llama/Llama-3.1-8B,0.08738095238095238
57,checkpoints/llama3.1-8b-adversary-hard,0.1488095238095238
57,checkpoints/llama3.1-8b-adversary-soft,0.14023809523809525
57,checkpoints/llama3.1-8b-full-prism,0.1392857142857143
57,checkpoints/llama3.1-8b-hard-panel,0.11404761904761905
57,checkpoints/llama3.1-8b-soft-panel,0.14904761904761904
57,checkpoints/llama3.1-8b-us-rep,0.1830952380952381
57,meta-llama/Llama-3.1-8B,0.12547619047619046
58,checkpoints/llama3.1-8b-adversary-hard,0.17095238095238094
58,checkpoints/llama3.1-8b-adversary-soft,0.1
58,checkpoints/llama3.1-8b-full-prism,0.11952380952380952
58,checkpoints/llama3.1-8b-hard-panel,0.13095238095238096
58,checkpoints/llama3.1-8b-soft-panel,0.10738095238095238
58,checkpoints/llama3.1-8b-us-rep,0.1692857142857143
58,meta-llama/Llama-3.1-8B,0.2019047619047619
59,checkpoints/llama3.1-8b-adversary-hard,0.1823809523809524
59,checkpoints/llama3.1-8b-adversary-soft,0.07119047619047619
59,checkpoints/llama3.1-8b-full-prism,0.09047619047619047
59,checkpoints/llama3.1-8b-hard-panel,0.1880952380952381
59,checkpoints/llama3.1-8b-soft-panel,0.06595238095238096
59,checkpoints/llama3.1-8b-us-rep,0.16785714285714284
59,meta-llama/Llama-3.1-8B,0.23404761904761906
60,checkpoints/llama3.1-8b-adversary-hard,0.1880952380952381
60,checkpoints/llama3.1-8b-adversary-soft,0.09714285714285714
60,checkpoints/llama3.1-8b-full-prism,0.11476190476190476
60,checkpoints/llama3.1-8b-hard-panel,0.1657142857142857
60,checkpoints/llama3.1-8b-soft-panel,0.0869047619047619
60,checkpoints/llama3.1-8b-us-rep,0.1469047619047619
60,meta-llama/Llama-3.1-8B,0.20047619047619047
61,checkpoints/llama3.1-8b-adversary-hard,0.07857142857142857
61,checkpoints/llama3.1-8b-adversary-soft,0.19285714285714287
61,checkpoints/llama3.1-8b-full-prism,0.18476190476190477
61,checkpoints/llama3.1-8b-hard-panel,0.1269047619047619
61,checkpoints/llama3.1-8b-soft-panel,0.21119047619047618
61,checkpoints/llama3.1-8b-us-rep,0.14095238095238094
61,meta-llama/Llama-3.1-8B,0.06476190476190476
62,checkpoints/llama3.1-8b-adversary-hard,0.17785714285714285
62,checkpoints/llama3.1-8b-adversary-soft,0.15166666666666667
